Bin name	Completeness	Genome size	GC content
ERR209084.001.fasta	0.9%	696012	41.5
ERR209084.002.fasta	43.9%	885471	46.5
ERR209084.003.fasta	33.6%	725878	46.3
ERR209084.004.fasta	48.6%	3053047	51.6
ERR209084.005.fasta	57.9%	1907633	44.7
ERR209084.006.fasta	52.3%	3898634	38.8
ERR209084.007.fasta	94.4%	1950416	35.4
ERR209084.008.fasta	61.7%	1517136	27.4
ERR209084.009.fasta	76.6%	4849168	43.7
ERR209084.010.fasta	48.6%	235634	30.5
ERR209084.011.fasta	43.9%	952004	32.3
ERR209084.012.fasta	33.6%	131869	32.5
Bin name	Completeness	Genome size	GC content
ERR209085.001.fasta	97.2%	5524794	51.3
ERR209085.002.fasta	51.4%	1826002	30.4
ERR209085.003.fasta	80.4%	2820937	53.7
ERR209085.004.fasta	73.8%	6673910	43.3
Bin name	Completeness	Genome size	GC content
ERR209247.001.fasta	98.1%	2307717	39.4
ERR209247.002.fasta	90.7%	3888280	44.5
ERR209247.003.fasta	43.0%	3568507	37.1
ERR209247.004.fasta	57.9%	4250565	49.4
ERR209247.005.fasta	87.9%	4839532	42.7
ERR209247.006.fasta	41.1%	586964	42.8
Bin name	Completeness	Genome size	GC content
ERR209248.001.fasta	98.1%	2417088	39.3
ERR209248.002.fasta	86.9%	3890782	43.9
ERR209248.003.fasta	64.5%	2499400	44.3
ERR209248.004.fasta	30.8%	3394339	37.3
ERR209248.005.fasta	71.0%	4736855	49.3
ERR209248.006.fasta	63.6%	2650997	41.5
ERR209248.007.fasta	40.2%	649391	43.3
Bin name	Completeness	Genome size	GC content
ERR209336.001.fasta	88.8%	3220556	45.7
ERR209336.002.fasta	19.6%	1405436	39.4
Bin name	Completeness	Genome size	GC content
ERR209354.001.fasta	87.9%	4593090	42.1
ERR209354.002.fasta	56.1%	2913949	44.0
ERR209354.003.fasta	34.6%	2482060	40.2
ERR209354.004.fasta	29.0%	3885353	36.0
ERR209354.005.fasta	54.2%	1235163	45.8
ERR209354.006.fasta	63.6%	4316400	48.8
ERR209354.007.fasta	55.1%	2705345	43.0
ERR209354.008.fasta	34.6%	663853	42.0
Bin name	Completeness	Genome size	GC content
ERR209376.001.fasta	0.0%	371311	34.9
ERR209376.002.fasta	9.3%	608893	39.0
ERR209376.003.fasta	39.3%	3021755	44.4
ERR209376.004.fasta	28.0%	795617	38.6
ERR209376.005.fasta	6.5%	1063965	35.0
ERR209376.006.fasta	38.3%	226247	30.8
ERR209376.007.fasta	32.7%	539821	28.9
ERR209376.008.fasta	22.4%	200746	29.8
ERR209376.009.fasta	28.0%	1085754	26.6
ERR209376.010.fasta	11.2%	569862	29.9
ERR209376.011.fasta	51.4%	1678737	42.4
Bin name	Completeness	Genome size	GC content
ERR209749.001.fasta	95.3%	3182822	57.6
ERR209749.002.fasta	91.6%	4090623	40.5
ERR209749.003.fasta	98.1%	3658137	43.4
ERR209749.004.fasta	96.3%	3264480	37.0
ERR209749.005.fasta	96.3%	3419517	43.8
ERR209749.006.fasta	92.5%	2820596	47.4
ERR209749.007.fasta	72.0%	4358283	47.5
ERR209749.008.fasta	95.3%	3039565	42.6
ERR209749.009.fasta	91.6%	3001297	40.7
ERR209749.010.fasta	91.6%	4043276	44.8
ERR209749.011.fasta	70.1%	3282551	40.5
ERR209749.012.fasta	88.8%	2886759	62.8
ERR209749.013.fasta	23.4%	4442171	36.2
ERR209749.014.fasta	57.0%	2422793	52.0
ERR209749.015.fasta	67.3%	2943570	45.1
ERR209749.016.fasta	68.2%	5013364	40.9
ERR209749.017.fasta	29.9%	3724549	41.5
